run,max_steps,init_cars,av_travel_time,free_flow_travel_time,av_waiting_agents,travel_time_index,sim_type
0,500,500,300.9614147909968,29.536650301052212,60.959311915199386,10.189422690909383,static
0,500,500,256.2497320471597,29.522216039704162,48.01923248671049,8.67989488670267,dynamic
1,500,500,294.4540540540541,28.975688899309148,61.554804242973496,10.162107105625175,static
1,500,500,251.20216216216213,28.98395335228076,47.51082669179159,8.666939223540911,dynamic
2,500,500,293.52282608695646,28.59258884383081,61.721120667745794,10.265696040681798,static
2,500,500,248.9695652173913,28.581359721989283,52.231026004483006,8.710906956111145,dynamic
3,500,500,305.6256684491978,28.260306585183297,66.43392522951054,10.814662166808743,static
3,500,500,241.82032085561497,28.206650402598854,46.19109058577195,8.573166873913342,dynamic
4,500,500,307.2279020234292,29.07676663379655,66.11475201740022,10.566095807445508,static
4,500,500,256.0894568690096,29.06314275314881,48.82143595912167,8.811485359451154,dynamic
5,500,500,301.9011815252417,29.266851092575852,63.56276780824858,10.31546511684085,static
5,500,500,248.09989258861438,29.26658761602952,45.47642557621279,8.477240184049617,dynamic
6,500,500,297.00106951871663,29.922820739828506,61.798237395183925,9.925570590455598,static
6,500,500,251.2385026737968,29.821648590013105,47.52533601427286,8.424702005171286,dynamic
7,500,500,299.7161290322581,29.068354949710216,63.646569489888286,10.310735834579656,static
7,500,500,243.55268817204305,29.03277591134253,47.35592163224656,8.388887404903361,dynamic
8,500,500,304.5390455531453,29.408466957039607,63.441074982558405,10.355488642030243,static
8,500,500,249.05639913232102,29.3606681663125,47.84805716514738,8.482654336118975,dynamic
9,500,500,298.12756756756755,29.083709555101,63.588979939480616,10.250672012892485,static
9,500,500,251.65621621621625,29.035710632347303,48.06977571316136,8.667127848279971,dynamic
10,500,500,305.93910256410254,29.34883989836805,66.22243664537605,10.42423154112863,static
10,500,500,249.3525641025641,29.26631423857316,48.25167101444235,8.520121873560562,dynamic
11,500,500,293.6053475935829,29.51084225096109,61.25541083847838,9.94906702752684,static
11,500,500,245.56684491978612,29.478800175839762,48.79711427646424,8.330286288959881,dynamic
12,500,500,286.8782327586207,28.544137045585394,62.94201896907053,10.050338263877867,static
12,500,500,230.58081896551724,28.49813683853573,43.47937855795184,8.091083998646585,dynamic
13,500,500,294.43581445523193,28.66317698034675,61.15308155392938,10.272267259735912,static
13,500,500,243.87810140237332,28.580927254478308,45.73858872913446,8.532896754221307,dynamic
14,500,500,316.3987138263665,28.89477031980436,70.05068708945768,10.950033875490195,static
14,500,500,239.28295819935693,28.65355284358688,45.4535661480561,8.350900131147691,dynamic
15,500,500,293.7591792656588,28.42868732123088,61.124901831231384,10.333195337031123,static
15,500,500,247.19438444924407,28.456435638136202,46.097900711262895,8.68676553847678,dynamic
16,500,500,289.68776824034336,28.874752730749,60.39209093235826,10.032562735397976,static
16,500,500,243.40557939914163,28.75199994041252,45.710874329163026,8.465692122412039,dynamic
17,500,500,303.0539956803456,29.57304705888626,62.81276675643068,10.24764188407438,static
17,500,500,254.5961123110151,29.499738064059905,48.59735426952526,8.630453319895556,dynamic
18,500,500,308.6516613076098,29.549980331138464,65.00310185446176,10.445071632835113,static
18,500,500,251.71489817792067,29.459129184072236,47.4512885120837,8.544546466567526,dynamic
19,500,500,307.6,29.258378427449536,65.37871726679207,10.51322788659459,static
19,500,500,245.1784946236559,29.224365196776304,44.900098949118146,8.389523364247488,dynamic
20,500,500,300.1646542261252,29.50542344084648,61.96198059094015,10.173202727556372,static
20,500,500,247.6388583973656,29.49872080796111,45.3907487094686,8.394901596225582,dynamic
21,500,500,304.13906581740974,29.08150091101696,63.37379362016786,10.458162621936498,static
21,500,500,251.19214437367302,29.057850533521474,46.0356668861391,8.644553528964398,dynamic
22,500,500,293.31060606060606,29.17631534053885,61.022759977970715,10.053037974026402,static
22,500,500,249.49891774891773,29.147452478527107,48.828234810983886,8.559887624234854,dynamic
23,500,500,295.8196721311475,29.33252998859904,61.15286305172358,10.085037746356235,static
23,500,500,247.3606557377049,29.340631695559093,46.5719522872297,8.430652015414674,dynamic
24,500,500,293.9254859611231,29.13236136719387,60.453426154274084,10.089312097168834,static
24,500,500,254.0755939524838,29.12153084888977,45.78921353432352,8.724664759928658,dynamic
25,500,500,291.09743040685225,29.20553748160729,61.53030116414993,9.9671999048186,static
25,500,500,248.64346895074942,29.174488221341825,47.88076540858158,8.522633441393529,dynamic
26,500,500,302.89815817984834,29.79512588404561,63.259715700152256,10.166030489639283,static
26,500,500,249.273022751896,29.797519437406788,47.82697512476453,8.365562887727059,dynamic
27,500,500,302.742639040349,28.89770780658239,60.974466283723324,10.476354770650342,static
27,500,500,245.15267175572518,28.84343158955084,45.71191339281381,8.499428058502481,dynamic
28,500,500,302.9870410367172,29.057382365252376,61.60917230006506,10.42719668372597,static
28,500,500,248.62634989200862,29.074821395614897,46.409534047210904,8.551259748392019,dynamic
29,500,500,314.4851063829787,29.16325333934698,65.9206822338254,10.783608492632618,static
29,500,500,257.3755319148936,29.17925226741952,47.38416652088426,8.820497850874323,dynamic
30,500,500,292.2079314040729,29.33323763012493,60.345606400990235,9.961666526165473,static
30,500,500,243.86495176848874,29.329297113917466,45.017091686126136,8.314721993551249,dynamic
31,500,500,293.42352941176466,29.040604472477412,59.82143027130952,10.103905712081524,static
31,500,500,249.57433155080213,29.07069326578209,48.25212165800047,8.58508358466173,dynamic
32,500,500,309.28768577494685,29.49005742124309,65.69401422948313,10.487863124747673,static
32,500,500,255.13906581740972,29.48680797497313,49.0687876696256,8.652651247770141,dynamic
33,500,500,297.8383947939262,29.913748315963225,65.86737616404174,9.956572197105343,static
33,500,500,249.441431670282,29.842667103876767,46.93444807607977,8.358550219456689,dynamic
34,500,500,297.23068432671084,29.42251398286625,62.20184289362485,10.102151179188787,static
34,500,500,242.9779249448124,29.402829044867328,46.13542051701018,8.263760081522749,dynamic
35,500,500,301.44528710725893,29.805768824035248,63.135111705258645,10.113655812299484,static
35,500,500,245.05200433369447,29.7888757259023,47.1516609744794,8.226292478726029,dynamic
36,500,500,299.33874458874465,28.96313483814741,64.11597732437511,10.335163864737627,static
36,500,500,244.9805194805195,28.976366984127086,45.596393197321746,8.454493954149497,dynamic
37,500,500,306.30918918918917,29.15916003247073,65.61602717547532,10.504732950060733,static
37,500,500,250.0691891891892,29.08383214920405,48.10326015388832,8.598220066265684,dynamic
38,500,500,286.8776824034335,29.43650734297293,59.28235563135561,9.745642683112566,static
38,500,500,242.5321888412017,29.432227606958648,46.61300630111722,8.240361282876867,dynamic
39,500,500,298.12078346028284,29.558895713014568,60.857756137508325,10.085653616925294,static
39,500,500,243.721436343852,29.536463191086764,47.11295780052315,8.251544362880928,dynamic
40,500,500,296.46294307196564,29.18644649646258,60.98513366534779,10.157555257982407,static
40,500,500,256.3104189044039,29.138309549240926,51.56809901858906,8.7963379780582,dynamic
41,500,500,303.28068303094983,28.888830524986183,65.48316043229764,10.498198698927599,static
41,500,500,245.6296691568837,28.883062229692488,47.52669186757762,8.504280716619112,dynamic
42,500,500,300.02045209903116,29.43202253037633,61.760772173458136,10.193674314749684,static
42,500,500,243.416576964478,29.44311100049212,46.23070191224078,8.267352487324096,dynamic
43,500,500,293.2843243243243,29.18855286817828,63.18329308526632,10.047922747279005,static
43,500,500,253.9232432432433,29.156595486542287,48.38604905731678,8.708946946856182,dynamic
44,500,500,308.53168635875403,29.15116466671752,64.6689540749291,10.583854535013174,static
44,500,500,257.92158968850697,29.06795581412496,48.470548323836276,8.873055654060662,dynamic
45,500,500,299.96548004314997,29.452475310758878,62.2848968352066,10.1847290211826,static
45,500,500,247.99137001078748,29.424833809283037,48.9984615923111,8.427961619703371,dynamic
46,500,500,293.0897435897436,29.04401312483021,62.195342950012396,10.091227487401744,static
46,500,500,238.02884615384616,29.03647165948343,45.214705712756775,8.197581612024305,dynamic
47,500,500,294.2532608695652,29.299265407318483,62.337827037510394,10.043025201446367,static
47,500,500,246.7391304347826,29.2904958773141,47.42253612568718,8.423863203554895,dynamic
48,500,500,303.71811361200434,30.018987865638298,64.92337234907069,10.117533441547506,static
48,500,500,248.4844587352626,30.038713990043753,44.60698862233171,8.272140372508026,dynamic
49,500,500,303.1923890063425,29.15490357314625,63.3608787974225,10.39936174872498,static
49,500,500,241.7029598308668,29.09760437803678,46.66260081135875,8.306627469761983,dynamic
0,500,750,364.7013769363167,29.824183768420163,78.01625930205714,12.228377472730264,static
0,500,750,308.99311531841647,29.702080155571466,55.016382514461135,10.403079976216958,dynamic
1,500,750,358.63596872284967,29.133342547059392,73.53410067466028,12.310155216262649,static
1,500,750,315.53258036490007,29.041351849984583,57.00132862564126,10.864941205037864,dynamic
2,500,750,336.723275862069,28.70403285938933,71.52526407308297,11.730869927287026,static
2,500,750,286.0801724137931,28.55213222606649,53.91204989463811,10.019572974400068,dynamic
3,500,750,357.30579216354346,28.496387094858648,73.9887899442725,12.538634844275007,static
3,500,750,303.1882453151618,28.42000436200557,54.693448741592114,10.668128035915833,dynamic
4,500,750,360.389410760034,29.21245935701716,76.19171977521864,12.336839098535695,static
4,500,750,310.8736122971818,29.149323219970412,58.068623301205044,10.664865525392377,dynamic
5,500,750,355.61206896551727,29.36605398538494,72.09079134930835,12.109630702936807,static
5,500,750,304.72413793103453,29.34907436499988,53.94239301008917,10.382751228925713,dynamic
6,500,750,349.6698032506416,29.72055082838596,73.21043904273795,11.765253116260336,static
6,500,750,318.94952951240384,29.604675015101428,60.48752715649074,10.7736203606257,dynamic
7,500,750,353.19759450171824,29.13510971426975,75.33710008055726,12.122748050910197,static
7,500,750,297.97852233676974,29.13040069041419,55.043383138958674,10.229125424794594,dynamic
8,500,750,353.14965397923874,29.48104407557103,72.88776861639646,11.978872019389241,static
8,500,750,308.7102076124568,29.460037083442998,55.85130594811416,10.478948371248203,dynamic
9,500,750,351.36606373815675,29.223714888283528,73.85185723764934,12.023319591002018,static
9,500,750,306.64168819982774,29.208382196015247,57.03060082931036,10.498413987532023,dynamic
10,500,750,359.4025641025641,29.213097458374605,75.27589520570683,12.302788658911386,static
10,500,750,304.5760683760684,29.11860865827116,53.98659531087639,10.459842774443596,dynamic
11,500,750,352.85616438356163,29.39193220658791,72.71009254892363,12.005204758347686,static
11,500,750,301.58561643835617,29.185607310066015,55.01422648962826,10.333367856091877,dynamic
12,500,750,344.4326424870467,28.773005218321696,72.26241686506327,11.97068710319224,static
12,500,750,296.29274611398966,28.751434850547447,54.972129771128365,10.305320331112037,dynamic
13,500,750,358.8936905790838,28.592217230164195,72.70957776117547,12.552146190343661,static
13,500,750,299.3630077787381,28.55860130260048,54.20288416894166,10.482411397069324,dynamic
14,500,750,364.2141014617369,28.93693407208309,77.48552331299315,12.5864786004787,static
14,500,750,294.3834909716251,28.776736237097012,53.68735667407114,10.229912403760574,dynamic
15,500,750,353.26233766233764,28.55840670875172,70.8725771900921,12.369819551385564,static
15,500,750,302.0277056277056,28.565322173798588,55.937267759565394,10.573229448983396,dynamic
16,500,750,348.7392426850258,28.76553313714759,70.48912234359517,12.123510488135768,static
16,500,750,300.41824440619615,28.76584882230595,53.83587210511093,10.443573080772168,dynamic
17,500,750,357.8833189282627,29.47205379832653,73.57764791242283,12.143141478269966,static
17,500,750,303.7018150388937,29.39037066378728,54.96193018734672,10.333378184069431,dynamic
18,500,750,360.7881646655232,29.382057964543318,74.47324981702359,12.279199949196984,static
18,500,750,306.21097770154375,29.254414247972022,55.157381780704355,10.467171726836776,dynamic
19,500,750,373.3666954270923,29.583614861198434,81.5944611636881,12.62072593828945,static
19,500,750,303.3313201035375,29.318057030881032,54.07796012788472,10.346228598437996,dynamic
20,500,750,356.47377622377616,29.49624249761811,73.66843228962918,12.08539617385375,static
20,500,750,304.3898601398602,29.40209972048645,54.82810979963271,10.352657226305881,dynamic
21,500,750,370.7058823529412,29.262921754183626,77.69953440548525,12.668108997008906,static
21,500,750,319.6018755328218,29.089680826913433,57.346581775304,10.986778350525244,dynamic
22,500,750,365.020725388601,29.282864576537264,77.75682494348116,12.465335296502099,static
22,500,750,302.09844559585486,29.055340501867825,56.214527818549136,10.397346593698824,dynamic
23,500,750,352.41927083333326,29.63714995855115,72.55729485889891,11.891132289245324,static
23,500,750,303.71527777777777,29.60587408678497,54.09887260886037,10.258615465548633,dynamic
24,500,750,368.4484848484848,29.362436961720928,77.95537338626116,12.548293771692785,static
24,500,750,304.6528138528138,29.225404134460828,54.26704476800933,10.42424640053431,dynamic
25,500,750,351.27101200686104,29.032083928694163,71.30739970068514,12.099407430400774,static
25,500,750,308.30703259005145,28.997813605288076,56.37525507365163,10.632078569324557,dynamic
26,500,750,351.21385281385284,29.828685216302066,71.98369060566192,11.774365858469224,static
26,500,750,299.20173160173164,29.77288401259712,54.4293226919952,10.049470903629533,dynamic
27,500,750,356.2757417102967,28.69722141656537,74.22071639422201,12.414990864050615,static
27,500,750,295.00087260034906,28.61261642372053,51.55057833992347,10.31016766281417,dynamic
28,500,750,354.625,28.95589258551504,73.02664629004484,12.247075407974071,static
28,500,750,305.0138888888889,28.883848005526954,53.56705777120585,10.560015716414387,dynamic
29,500,750,364.6262798634812,29.2577074935654,75.95237428374891,12.462571783646169,static
29,500,750,312.05204778157,29.282738717784728,56.99114697680502,10.656518530899797,dynamic
30,500,750,356.14531384350823,29.09404875005641,72.62637555217195,12.241174025076782,static
